,,,,,,,,,Response,Response,Response,Response,Please list all that apply.,Response,Response,Open-Ended Response,Open-Ended Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
114454833380,427833415,2023-11-04 13:39:47,2023-11-04 13:44:50,66.190.95.62,,,,,45-54,Male,No,Black or African-American,,Employed full-time,Doctorate degree,Cobb,30080,Yes,No,Yes,Sometimes,Time,Yes,Yes,Yes,Yes,Yes,Yes,Local,Taxes,No,No,No,I don't know any of them,Never,Never,Don't Know,Don't Know,Never
114454826351,427833415,2023-11-04 13:21:28,2023-11-04 13:26:47,99.155.150.199,,,,,55-64,Female,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Covb,30080,No,Yes,No,Rarely,None,Yes,Yes,Yes,Yes,Yes,Yes,State,"Kemp, Kemp and Kemp",Yes,No,No,I only know 1 or 2,Never,Rarely,Don't Know,Rarely,Never
114440888620,427833415,2023-10-19 06:18:51,2023-10-19 06:24:01,174.209.99.15,,,,,55-64,Male,No,White,,Employed part-time,High school diploma or GED,Cobb,30080,No,No,No,Sometimes,Lazy ness Work dtress,Yes,Yes,Yes,Yes,Yes,Yes,State,Affordability  Traffic  Overdevelopment,No,No,No,I can name all of them,Rarely,Rarely,Rarely,Rarely,Sometimes
114438029437,427833415,2023-10-16 13:00:52,2023-10-16 13:06:37,108.76.116.143,,,,,65+,Male,No,White,,Retired,Bachelor’s (4-year) degree,Cobb,30080,No,No,Yes,Sometimes,If I am directly affected by the issue(s).,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Affordable housing (including for seniors), traffic, and crime.",No,No,No,I can name all of them,Sometimes,Sometimes,Sometimes,Rarely,Rarely
114435249674,427833415,2023-10-12 10:56:50,2023-10-12 11:03:13,50.217.78.125,,,,,25-34,Male,No,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30080,Yes,Yes,Yes,Often,"To protect children in schools, to lower taxes, and support the police to keep our communities safe",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Secure elections, Safe schools free of indoctrination and inappropriate material, lower taxes, adhering to the duly passed and signed legislative maps for Cobb County",Yes,No,No,I can name all of them,Often,Sometimes,Rarely,Never,Often
114434473088,427833415,2023-10-11 14:21:58,2023-10-11 14:24:32,75.137.11.57,,,,,25-34,Male,Yes,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30080,Yes,Yes,Yes,Often,Whether I can have my voice heard and have meaningful impact,Yes,Yes,Yes,Yes,Yes,Yes,State,"Housing, healthcare, workers' rights",No,No,No,I can name all of them,Sometimes,Sometimes,Rarely,Rarely,Sometimes
114434461702,427833415,2023-10-11 14:08:39,2023-10-11 14:12:46,108.76.116.143,,,,,65+,Female,No,White,,Retired,Master’s degree,Cobb,30080,No,No,Yes,Often,I am volunteering for anything that makes my community a better place to live.,Yes,Yes,Yes,Yes,Yes,Yes,Local,"High food prices, community safety and traffic.",No,No,No,I can name all of them,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
114423164531,427833415,2023-09-27 18:30:04,2023-09-27 18:40:35,108.76.116.143,,,,,65+,Female,No,White,,Retired,Master’s degree,Cobb,30080,No,No,Yes,Often,"I’m the change I want to see regarding voting rights, women’s reproductive rights and LGBTQ rights.",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Voter rights, women’s reproductive rights and LGBTQ rights. ",Yes,Yes,Yes,I can name all of them,Sometimes,Often,Often,Sometimes,Sometimes
114500585586,427833415,2024-01-04 18:19:02,2024-01-04 20:54:24,75.193.242.171,,,,,45-54,Female,No,Black or African-American,,Employed full-time,Doctorate degree,Cobb,30082,Yes,Yes,Yes,Often,availability and ease of access,Yes,Yes,Yes,Yes,Yes,Yes,Local,-Affordable home ownership -Living wages -Education costs,No,No,No,I can name some of them,Rarely,Never,Rarely,Rarely,Rarely
114464837669,427833415,2023-11-15 18:08:26,2023-11-15 18:12:03,108.147.177.18,,,,,45-54,Male,Yes,Black or African-American,,Employed full-time,Master’s degree,Cobb,30082,Yes,No,Yes,Often,The need to help and give back.,Yes,Yes,Yes,Yes,Yes,Yes,Local,Civil rights Education Support to veterans,Yes,Yes,Yes,I can name all of them,Often,Often,Often,Often,Often
114463807838,427833415,2023-11-14 17:48:12,2023-11-14 17:53:31,75.42.46.55,,,,,55-64,Female,No,Black or African-American,,Employed full-time,Master’s degree,South Cobb,30082,Yes,Yes,Yes,Often,How the issue affects me or my community,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Significant capital investment, affordable housing and poor infrastructure.",No,No,No,I can name all of them,Often,Often,Sometimes,Sometimes,Sometimes
114463624045,427833415,2023-11-14 14:18:54,2023-11-14 14:23:06,99.135.111.119,,,,,55-64,Female,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30082,No,No,Yes,Often,"Awareness of events, schedule, topics of discussion",Yes,Yes,Yes,Yes,Yes,Yes,State,"Economy, education, environment",Yes,No,No,I can name some of them,Sometimes,Rarely,Rarely,Rarely,Sometimes
114460357454,427833415,2023-11-10 05:51:02,2023-11-10 08:50:56,98.252.188.79,,,,,35-44,Male,No,Black or African-American,,Employed full-time,Doctorate degree,Cobb,30082,Yes,No,Yes,Often,"I vote in local, state, and national elections always. I may voice my opinion and lead expertise to specific issues that are of utmost concern to me, my family, and my community.",Yes,Yes,Yes,Yes,Yes,Yes,Local,"-Climate Change -Black Maternal Health -The Economic, given Inflation and Rising Prices and Interest Rates",Yes,No,No,I can name all of them,Often,Often,Sometimes,Sometimes,Sometimes
114457435410,427833415,2023-11-07 13:43:44,2023-11-07 13:48:27,104.28.32.195,,,,,55-64,Female,No,Black or African-American,,Retired,Associate (2-year) degree,Cobb,30082,No,No,Yes,Sometimes,Non transparent with voting issues,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Voting laws, crooked politicians and inequality in certain communities",No,No,No,I only know 1 or 2,Sometimes,Rarely,Rarely,Rarely,Sometimes
114454830894,427833415,2023-11-04 13:33:33,2023-11-04 13:38:10,99.46.185.8,,,,,45-54,Female,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30082,No,No,No,Never,"Time, race, candidates",Yes,Yes,Yes,Yes,Yes,Yes,Local,Race equality Jobs Affordable housing,No,No,Yes,I only know 1 or 2,Never,Never,Don't Know,Rarely,Never
114443766962,427833415,2023-10-23 06:40:02,2023-10-23 06:45:50,107.205.79.232,,,,,65+,Male,No,White,,Retired,Bachelor’s (4-year) degree,Cobb,30082,No,No,No,Rarely,How important I feel the particular issue is and how accessible participation is.,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Affordable housing, economic development, governmental transparency ",Yes,No,No,I only know 1 or 2,Rarely,Often,Sometimes,Sometimes,Never
114441733932,427833415,2023-10-19 23:32:52,2023-10-19 23:37:03,162.232.123.30,,,,,65+,Male,No,Black or African-American,,Employed part-time,Bachelor’s (4-year) degree,Cobb,30082,No,No,Yes,Rarely,Time,Yes,Yes,Yes,Yes,Yes,Yes,Local,Transparency  Diversity  Fiscal Responsibility,Yes,No,No,I can name all of them,Sometimes,Sometimes,Rarely,Rarely,Rarely
114438304117,427833415,2023-10-16 17:43:54,2023-10-16 17:52:04,99.46.184.215,,,,,45-54,Female,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30082,Yes,No,Yes,Often,I'm motivated to encourage others to stay engaged for the sake of saving democracy.,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Protecting voting rights, equitable distribution of funding in schools and local communities, protecting civil rights for all people. ",No,No,No,I can name some of them,Sometimes,Rarely,Sometimes,Rarely,Sometimes
114434566536,427833415,2023-10-11 16:05:44,2023-10-11 16:09:25,45.28.5.137,,,,,45-54,Male,No,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30082,No,No,Yes,Sometimes,Availability of time; level of interest in the topic at hand.,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Crime/public safety, government transparency, economics",Yes,No,Yes,I can name all of them,Sometimes,Never,Sometimes,Sometimes,Never
114434244235,427833415,2023-10-11 10:35:31,2023-10-11 10:37:37,23.114.229.81,,,,,45-54,Female,No,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30082,No,No,No,Rarely,Time is short in my life,Yes,Yes,Yes,Yes,Yes,Yes,Local,1. Smart growth.  2. Zoning  3. Crime/Safety,Yes,No,No,I can name some of them,Rarely,Sometimes,Rarely,Rarely,Never
114423213406,427833415,2023-09-27 20:10:03,2023-09-27 20:14:57,75.42.46.55,,,,,55-64,Female,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30082,Yes,No,Yes,Sometimes,"The issue, an invitation and my availability determine the frequency of my participation.",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Inflation, environmental sustainability and education.",Yes,No,No,I can name all of them,Sometimes,Often,Often,Sometimes,Sometimes
114415546025,427833415,2023-09-18 21:14:00,2023-09-18 21:31:17,75.193.182.166,,,,,45-54,Female,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30082,Yes,No,Yes,Sometimes,Time; ease of access,Yes,Yes,Yes,Yes,Yes,Yes,State,Inflation; Housing costs; Equity in Education,Yes,No,No,I can name some of them,Rarely,Rarely,Don't Know,Rarely,Rarely
114440507345,427833415,2023-10-18 18:17:29,2023-10-18 18:20:39,130.218.6.160,,,,,18-24,Female,No,Asian,,Student,"Some college, no degree",Gwinnett,30084,No,No,Yes,Sometimes,convenience and availability,No,No,No,No,No,Yes,Local,Unsure,No,No,Yes,I can name some of them,Never,Rarely,Sometimes,Sometimes,Never
114449659860,427833415,2023-10-30 12:22:15,2023-10-30 12:26:01,107.115.165.53,,,,,18-24,Male,No,Asian,,Student,High school diploma or GED,Forsyth,30097,Yes,Yes,Yes,Often,Convenience Urgency People Involved Organization Hosting it,Yes,Yes,Yes,No,Yes,No,Local,Affordable Housing  Police Brutality & Cop City  Censorship in Education & Book Bans,Yes,No,Yes,I can name some of them,Rarely,Never,Never,Rarely,Rarely
114458710301,427833415,2023-11-08 17:38:29,2023-11-08 17:48:34,73.237.27.89,,,,,65+,Female,No,Black or African-American,,Retired,Bachelor’s (4-year) degree,Cobb,30101,No,No,No,Sometimes,Will it help the community.,Yes,Yes,Yes,Yes,Yes,Yes,State,"Hunger, unemployment, safety",No,No,No,I don't know any of them,Don't Know,Never,Don't Know,Don't Know,Never
114458036806,427833415,2023-11-08 05:39:51,2023-11-08 05:45:52,24.30.11.118,,,,,45-54,Male,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30101,Yes,No,Yes,Often,"Issues that affect me. I.e taxation, zoning etc",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Zoning, taxes, education",No,No,No,I can name some of them,Often,Sometimes,Rarely,Rarely,Rarely
114457228762,427833415,2023-11-07 10:22:46,2023-11-07 10:30:47,45.30.43.125,,,,,65+,Male,No,Black or African-American,,Retired,"Some college, no degree",Cobb,30101,No,No,No,Never,my age and physical condition,Yes,Yes,Yes,Yes,Yes,Yes,State,not aware of any issues,No,No,Yes,I don't know any of them,Never,Never,Don't Know,Rarely,Never
114457167668,427833415,2023-11-07 09:27:55,2023-11-07 09:33:13,99.32.187.145,,,,,55-64,Female,No,Black or African-American,,Employed full-time,"Some college, no degree",Paulding,30101,No,No,Yes,Never,"To bring change to help people, creating a better world",Yes,Yes,Yes,Yes,Yes,Yes,Local,Just moved to the community,No,No,No,I don't know any of them,Never,Never,Never,Sometimes,Never
114457131636,427833415,2023-11-07 08:52:58,2023-11-07 08:57:38,107.123.33.73,,,,,35-44,Female,Yes,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30101,No,No,No,Don't Know,Time,Yes,Yes,Yes,Yes,Yes,Yes,Local,?,No,No,No,I don't know any of them,Never,Never,Don't Know,Never,Never
114456762688,427833415,2023-11-06 22:40:34,2023-11-06 22:44:23,73.132.9.240,,,,,45-54,Male,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30101,Yes,Yes,Yes,Sometimes,I believe it’s important,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Education, Economy, Governance",Yes,No,No,I can name some of them,Rarely,Rarely,Rarely,Rarely,Rarely
114437402529,427833415,2023-10-15 20:11:48,2023-10-15 20:16:44,209.163.98.2,,,,,55-64,Female,No,Black or African-American,,Employed full-time,"Some college, no degree",Cobb,30101,No,No,No,Never,Usually no time,Yes,Yes,Yes,Yes,Unsure / Don’t know,Yes,Local,Affordable Housing   School Safety   Food Insecurities ,No,No,No,I don't know any of them,Never,Never,Never,Don't Know,Never
114433524657,427833415,2023-10-10 16:12:14,2023-10-10 16:16:15,71.56.40.229,,,,,45-54,Female,No,White,,Employed full-time,Doctorate degree,Cobb,30101,No,Yes,Yes,Sometimes,Schedule,Yes,Yes,Yes,Yes,Yes,Yes,State,Lack of affordable housing  Traffic  Cost of daycare,No,No,No,I can name all of them,Rarely,Rarely,Rarely,Rarely,Rarely
114431165083,427833415,2023-10-07 06:15:48,2023-10-07 06:18:59,73.237.104.88,,,,,55-64,Female,No,White,,Retired,Bachelor’s (4-year) degree,Cobb,30101,No,Yes,Yes,Sometimes,I engage in areas where I am informed .,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Cobb School Board, equitable health care, protection of civil rights",Yes,No,No,I can name some of them,Sometimes,Sometimes,Sometimes,Rarely,Never
114431033958,427833415,2023-10-06 23:10:57,2023-10-06 23:17:03,45.30.254.132,,,,,18-24,Male,No,White,,Student,"Some college, no degree",Paulding,30101,No,No,No,Sometimes,"Don't have time, not sure what I'm interested in",Yes,Yes,Yes,Yes,Yes,Unsure / Don’t know,Local,"Housing is too expensive, healthcare too expensive, too much censorship of lgbt issues in schools",No,No,No,I can name some of them,Rarely,Never,Rarely,Rarely,Rarely
114425136160,427833415,2023-09-29 23:27:45,2023-09-29 23:30:26,99.36.176.79,,,,,35-44,Male,No,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30101,Yes,No,Yes,Often,"Availability, access, importance",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Mobility, sustainability/resilience, education",Yes,No,No,I can name all of them,Often,Sometimes,Sometimes,Sometimes,Often
114417493065,427833415,2023-09-20 21:00:01,2023-09-20 21:05:30,128.92.171.226,,,,,55-64,Female,No,Black or African-American,,Employed full-time,Doctorate degree,Cobb,30101,Yes,Yes,Yes,Often,"Time is a factor. However, I am willing to participate.",Yes,Yes,Yes,Yes,Yes,Yes,Local,Education equity  Housing  Healthcare,Yes,No,No,I can name all of them,Sometimes,Never,Never,Rarely,Sometimes
114412461292,427833415,2023-09-14 09:56:03,2023-09-14 09:59:36,99.135.96.93,,,,,45-54,Female,No,Black or African-American,,Employed part-time,Doctorate degree,Cobb,30101,Yes,Yes,Yes,Often,Who is leading the discussion. They type of policies discussed.,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Rising costs/inflation, healthcare, access to the voting both ",Yes,Yes,No,I can name all of them,Sometimes,Sometimes,Rarely,Rarely,Sometimes
114457145333,427833415,2023-11-07 09:05:17,2023-11-07 09:11:09,99.29.85.104,,,,,35-44,Female,No,Black or African-American,,Unemployed,Bachelor’s (4-year) degree,Cobb,30106,No,No,Yes,Sometimes,My availability,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Racism, women’s rights, voter suppression",Yes,No,No,I can name some of them,Never,Never,Rarely,Sometimes,Never
114487794139,427833415,2023-12-13 08:21:37,2023-12-13 08:25:55,73.7.166.229,,,,,55-64,Male,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30126,No,No,Yes,Sometimes,"Knowledge, time, and prioritization",Yes,Yes,Yes,Yes,No,Yes,Local,"Taxes, safety and facilities",No,Yes,No,I don't know any of them,Never,Don't Know,Don't Know,Rarely,Never
114459926882,427833415,2023-11-09 20:39:31,2023-11-09 20:47:04,71.56.100.174,,,,,55-64,Male,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30126,Yes,Yes,Yes,Sometimes,"Personal interest, passion",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Affordable housing, lack of civil discourse, and misinformation",Yes,No,No,I can name all of them,Often,Sometimes,Sometimes,Sometimes,Sometimes
114458877394,427833415,2023-11-08 22:09:58,2023-11-08 22:13:18,24.99.146.191,,,,,55-64,Female,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30126,Yes,Yes,Yes,Often,"I care about uplifting my community, ensuring that we get our fair share of investment from the schoolboard and the county.",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Schools, economic development, poverty",Yes,No,Yes,I can name all of them,Often,Often,Often,Sometimes,Often
114457776138,427833415,2023-11-07 20:48:14,2023-11-07 21:00:29,107.77.235.209,,,,,65+,Male,No,Black or African-American,,Retired,Doctorate degree,Cobb,30126,Yes,Yes,Yes,Often,My belief that all eligible citizens should lend their voices to any and all matters pertaining to the espoused values of our country.,Yes,Yes,Yes,Yes,Yes,Yes,Local,Racism Access to affordable housing Access to affordable health care,Yes,No,No,I can name all of them,Often,Often,Sometimes,Rarely,Often
114457770936,427833415,2023-11-07 20:46:37,2023-11-07 20:51:27,104.51.174.92,,,,,35-44,Female,No,Black or African-American,,Unemployed,Bachelor’s (4-year) degree,Cobb,30126,No,No,Yes,Sometimes,It’s how I was raised,Yes,Yes,Yes,Yes,Yes,Yes,State,"Education, social issues, legalization",Yes,No,No,I can name some of them,Never,Rarely,Rarely,Rarely,Sometimes
114457242513,427833415,2023-11-07 10:08:56,2023-11-07 10:43:55,24.98.249.72,,,,,45-54,Female,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30126,Yes,Yes,Yes,Often,"I wanted to get involved in public policy discussions in my community because active civic engagement is essential for creating a better future, fostering inclusivity, and addressing the challenges that our community faces. By participating in these discussions, my goal is to contribute my ideas, expertise, and energy toward building a more equitable and thriving community for everyone. I'm passionate about advocating for positive change and ensuring that the voices of those who may not have a platform to express their concerns are heard and considered in the decision-making process.",Yes,Yes,Yes,Yes,Yes,Yes,Local,1. Housing Insecurity / Workforce Development 2. Economic Development 3. Business and job opportunities,No,Yes,Yes,I can name some of them,Often,Sometimes,Rarely,Often,Rarely
114457196224,427833415,2023-11-07 09:56:52,2023-11-07 10:00:37,66.6.146.108,,,,,45-54,Male,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30126,Yes,No,Yes,Sometimes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Local,Jobs Youth crime,Yes,Yes,Yes,I can name some of them,Sometimes,Rarely,Rarely,Often,Rarely
114457194198,427833415,2023-11-07 09:55:43,2023-11-07 09:58:44,24.99.146.128,,,,,35-44,Female,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30126,No,No,No,Rarely,Time and knowledge of activities,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Economy, development, safety",No,No,No,I don't know any of them,Never,Never,Never,Never,Rarely
114445118304,427833415,2023-10-24 12:32:17,2023-10-24 12:42:42,97.81.105.42,,,,,55-64,Female,No,Black or African-American,,Retired,Associate (2-year) degree,Cobb,30126,No,No,Yes,Sometimes,I participate because folks are being left in the dark and not informed.,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Homeless and high rent, jobs that pay well so folks can live, lack of communication to the voters ",No,No,No,I only know 1 or 2,Rarely,Never,Never,Never,Sometimes
114439084599,427833415,2023-10-17 12:49:17,2023-10-17 12:53:35,73.7.180.89,,,,,25-34,Male,No,White,,Unemployed,"Some college, no degree",Cobb,30126,Yes,Yes,Yes,Sometimes,"Direct impact on myself, my family, friends and neighbors",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Income inequality, housing affordability, infrastructure",No,No,No,I can name some of them,Sometimes,Sometimes,Rarely,Rarely,Often
114438835046,427833415,2023-10-17 08:49:22,2023-10-17 08:57:40,160.73.51.201,,,,,35-44,Female,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30126,Yes,No,Yes,Sometimes,Want to be an active participant in my community. It is very important that my community is safe and thrives.,Yes,Yes,Yes,Yes,Yes,Yes,Local,Lawsuit against the City of Mableton which could potentially abolish it. Upcoming transportation/mobility SPLOST in Cobb. Election laws.   ,Yes,Yes,Yes,I can name all of them,Sometimes,Rarely,Sometimes,Sometimes,Often
114427485761,427833415,2023-10-03 10:13:38,2023-10-03 10:20:03,107.127.28.18,,,,,55-64,Female,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30126,Yes,Yes,Yes,Often,Engagement importance,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Education, health, crime",Yes,Yes,Yes,I can name all of them,Often,Sometimes,Sometimes,Sometimes,Sometimes
114423256115,427833415,2023-09-27 21:40:58,2023-09-27 21:43:54,172.56.64.35,,,,,45-54,Female,No,Black or African-American,,Employed part-time,Bachelor’s (4-year) degree,Cobb,30126,Yes,No,Yes,Often,If not me then who. Representation matters. We each have a duty to make our communities better,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Education, housing, transit",Yes,No,Yes,I can name all of them,Sometimes,Sometimes,Sometimes,Rarely,Sometimes
114415494927,427833415,2023-09-18 19:50:34,2023-09-18 19:54:40,24.99.146.191,,,,,55-64,Female,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30126,Yes,Yes,Yes,Often,Im concerned about my community improving which drives my engagement,Yes,Yes,Yes,Yes,Yes,Yes,Local,1. School quality..infrastructure and education 2. Economic Development 3. Transportation ,Yes,No,Yes,I can name all of them,Sometimes,Sometimes,Often,Sometimes,Often
114415473047,427833415,2023-09-18 19:14:07,2023-09-18 19:16:57,35.150.247.37,,,,,45-54,Female,No,Black or African-American,,Employed part-time,Bachelor’s (4-year) degree,Cobb,30126,Yes,No,Yes,Often,We each play a role in understanding public policy and how it affects our community,Yes,Yes,Yes,Yes,Yes,Yes,Local,Housing  Education  Rising costs,Yes,No,No,I can name all of them,Often,Sometimes,Sometimes,Sometimes,Sometimes
114414730873,427833415,2023-09-18 02:20:45,2023-09-18 02:23:28,162.192.58.88,,,,,55-64,Female,No,Black or African-American,,Retired,Bachelor’s (4-year) degree,Cobb,30126,Yes,Yes,Yes,Often,"Interests, need",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Housing, economic development, healthcare",Yes,Yes,No,I can name all of them,Often,Sometimes,Sometimes,Sometimes,Often
114459316941,427833415,2023-11-09 09:37:33,2023-11-09 09:45:51,73.7.230.221,,,,,18-24,Female,No,Black or African-American,,Student,Bachelor’s (4-year) degree,Cobb,30127,No,No,No,Sometimes,the importance of the discussion and how it effects me or people I know,Yes,Yes,Yes,Yes,Yes,Yes,Local,1. lack of sidewalks 2. unfinished construction,No,No,Yes,I only know 1 or 2,Rarely,Often,Often,Sometimes,Never
114457222809,427833415,2023-11-07 10:18:56,2023-11-07 10:25:19,107.77.236.175,,,,,65+,Male,No,Black or African-American,,Retired,"Some high school, no diploma",Cobb,30127,No,No,Yes,Never,Never know when except at voting time,No,Yes,No,No,No,Yes,Local,Knowledge,Yes,No,No,I don't know any of them,Never,Never,Don't Know,Don't Know,Never
114457177931,427833415,2023-11-07 09:37:33,2023-11-07 09:42:52,73.237.233.235,,,,,65+,Male,No,Black or African-American,,Retired,Master’s degree,Cobb,30127,Yes,Yes,Yes,Often,Being an part of how my life is being governed my elected officials,Yes,Yes,Yes,Yes,Yes,Yes,Local,"Housing, transportation and growth",Yes,Yes,No,I can name all of them,Often,Often,Often,Sometimes,Often
114457176945,427833415,2023-11-07 09:36:14,2023-11-07 09:41:53,69.236.112.91,,,,,65+,Male,No,Black or African-American,,Retired,Master’s degree,Cobb,30127,Yes,Yes,Yes,Often,Personal experience inspires me to participate,Yes,Yes,Yes,Yes,Yes,Yes,Local,Transportation Affordable housing Inflation,Yes,Yes,Yes,I can name all of them,Sometimes,Sometimes,Often,Sometimes,Rarely
114439153872,427833415,2023-10-17 13:53:33,2023-10-17 14:03:18,24.125.128.158,,,,,65+,Female,No,Black or African-American,,Retired,Bachelor’s (4-year) degree,Cobb,30127,No,No,No,Rarely,Not knowing when or where is the activity.,Yes,Yes,Yes,Yes,Yes,Yes,Local,"1.  Over building of multi-family housing.  2.  Lack of public transportation.  3.  Lack of new businesses i.e., nice restaurants, upscale grocery stores, etc..",No,No,No,I can name some of them,Rarely,Rarely,Rarely,Never,Rarely
114434797816,427833415,2023-10-11 22:02:58,2023-10-11 22:15:53,174.204.199.5,,,,,65+,Female,No,White,,Retired,"Some college, no degree",Cobb,30127,Yes,No,Yes,Sometimes,Feeling unrepresented,Yes,Yes,Yes,Yes,Yes,Yes,Local,Education  Zoning  Local control,Yes,No,Yes,I can name all of them,Often,Often,Often,Sometimes,Sometimes
114429944472,427833415,2023-10-05 18:29:56,2023-10-05 18:41:15,172.58.1.98,,,,,Under 18,Female,Yes,White,,Employed part-time,"Some high school, no diploma",Georgia,30127,Yes,Yes,Yes,Often,I wish to support my community in any way that I feel this is an outlet to actively involve myself within it.,No,Yes,No,No,No,Yes,Local,"Education, healthcare and immigration ",Yes,Yes,Yes,I only know 1 or 2,Rarely,Sometimes,Sometimes,Sometimes,Rarely
114429941701,427833415,2023-10-05 18:29:13,2023-10-05 18:36:38,174.215.178.195,,,,,Under 18,Female,No,Please list all that apply.,Asian/Black,Unemployed,"Some high school, no diploma",Powder Springs,30127,No,Yes,Yes,Often,Time constraints,No,Yes,No,No,No,Yes,Local,"Lower costs education accessibility, Rising costs & Littering ",No,Yes,No,I only know 1 or 2,Never,Don't Know,Don't Know,Don't Know,Rarely
114481012554,427833415,2023-12-05 12:28:12,2023-12-05 12:31:18,174.195.37.105,,,,,18-24,Male,No,White,,Student,High school diploma or GED,Douglas,30135,No,No,No,Rarely,Focus on schoolwork,Yes,No,Unsure / Don’t know,Yes,Unsure / Don’t know,Unsure / Don’t know,State,I am unsure about what issues my community has.,No,No,Yes,I can name some of them,Never,Never,Don't Know,Rarely,Never
114462228206,427833415,2023-11-13 08:59:51,2023-11-13 09:04:06,174.254.49.16,,,,,45-54,Male,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Paulding,30141,Yes,No,Yes,Rarely,Never really like to talk about politics outside of my home.,Yes,No,Yes,Yes,Unsure / Don’t know,Yes,Local,Affordable housing Affordable Education Affordable healthy food,No,No,Yes,I only know 1 or 2,Rarely,Don't Know,Don't Know,Don't Know,Never
114459317516,427833415,2023-11-09 09:41:38,2023-11-09 09:46:23,172.56.70.69,,,,,18-24,Male,No,Black or African-American,,Student,Bachelor’s (4-year) degree,United States,30144,Yes,No,Yes,Sometimes,Impact,Yes,Yes,Yes,Yes,Yes,Yes,State,Drugs Money Lack of guidance,No,Yes,Yes,I only know 1 or 2,Never,Rarely,Never,Sometimes,Never
114459294090,427833415,2023-11-09 09:20:36,2023-11-09 09:23:57,99.157.97.230,,,,,35-44,Male,No,Black or African-American,,Employed full-time,Doctorate degree,United States,30144,Yes,Yes,Yes,Often,Scheduling,Yes,Yes,Yes,Yes,Yes,Yes,State,"Transportation, education, and fair representation / addressing gerrymandering and voter restrictions",Yes,Yes,No,I only know 1 or 2,Rarely,Sometimes,Sometimes,Sometimes,Never
114458815744,427833415,2023-11-08 20:23:46,2023-11-08 20:28:37,99.157.97.230,,,,,35-44,Female,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30144,No,No,Yes,Sometimes,"Activities and or discussions that support, encourage, and advance people of color.",Yes,Yes,Yes,Yes,Yes,Yes,Local,"Education, Safety, Housing cost",Yes,Yes,No,I can name some of them,Rarely,Rarely,Rarely,Sometimes,Rarely
